max_dist,pc,grp,cat
20,67.4,pc_comb,pc_recap
40,20.4,pc_comb,pc_recap
60,5.7,pc_comb,pc_recap
80,5,pc_comb,pc_recap
100,1.5,pc_comb,pc_recap
140,0,pc_comb,pc_recap
20,64.3,pc_quer,pc_recap
40,18.8,pc_quer,pc_recap
60,5.7,pc_quer,pc_recap
80,3.8,pc_quer,pc_recap
100,7.2,pc_quer,pc_recap
140,0.2,pc_quer,pc_recap
20,57.9,pc_cop,pc_recap
40,21.5,pc_cop,pc_recap
60,10.5,pc_cop,pc_recap
80,5.9,pc_cop,pc_recap
100,4.2,pc_cop,pc_recap
140,0,pc_cop,pc_recap
20,21.10743333,pc_total_comb,pc_release
40,6.3886,pc_total_comb,pc_release
60,1.78505,pc_total_comb,pc_release
80,1.565833333,pc_total_comb,pc_release
100,0.46975,pc_total_comb,pc_release
140,0,pc_total_comb,pc_release
20,9.216333333,pc_total_quer,pc_release
40,2.694666667,pc_total_quer,pc_release
60,0.817,pc_total_quer,pc_release
80,0.544666667,pc_total_quer,pc_release
100,1.032,pc_total_quer,pc_release
140,0.028666667,pc_total_quer,pc_release
20,5.030866667,pc_total_cop,pc_release
40,1.868111111,pc_total_cop,pc_release
60,0.912333333,pc_total_cop,pc_release
80,0.512644444,pc_total_cop,pc_release
100,0.364933333,pc_total_cop,pc_release
140,0,pc_total_cop,pc_release
20,35.35463333,pc_sum,pc_release
40,10.95137778,pc_sum,pc_release
60,3.514383333,pc_sum,pc_release
80,2.623144444,pc_sum,pc_release
100,1.866683333,pc_sum,pc_release
140,0.028666667,pc_sum,pc_release
20,65.06322462,pc_sum_recap,pc_recap
40,20.1538493,pc_sum_recap,pc_recap
60,6.467528882,pc_sum_recap,pc_recap
80,4.827379613,pc_sum_recap,pc_recap
100,3.435262243,pc_sum_recap,pc_recap
140,0.052755343,pc_sum_recap,pc_recap
25,50.1,pc,flight_mill
50,11.3,pc,flight_mill
75,8.6,pc,flight_mill
100,0.0,pc,flight_mill
125,5.8,pc,flight_mill
150,0.0,pc,flight_mill
175,3.0,pc,flight_mill
200,3.1,pc,flight_mill
225,3.1,pc,flight_mill
250,3.0,pc,flight_mill
275,3.0,pc,flight_mill
300,5.7,pc,flight_mill
325,0.0,pc,flight_mill
350,3.1,pc,flight_mill
375,0.0,pc,flight_mill
400,0.0,pc,flight_mill
425,2.9,pc,flight_mill
