"","lon","lat"
"7382",146.7,-43.6
"7383",146.8,-43.6
"7384",146.9,-43.6
"7877",146.1,-43.5
"7878",146.2,-43.5
"7879",146.3,-43.5
"7880",146.4,-43.5
"7881",146.5,-43.5
"7882",146.6,-43.5
"7883",146.7,-43.5
"7884",146.8,-43.5
"7885",146.9,-43.5
"7889",147.3,-43.5
"8377",146,-43.4
"8378",146.1,-43.4
"8379",146.2,-43.4
"8380",146.3,-43.4
"8381",146.4,-43.4
"8382",146.5,-43.4
"8383",146.6,-43.4
"8384",146.7,-43.4
"8385",146.8,-43.4
"8386",146.9,-43.4
"8387",147,-43.4
"8389",147.2,-43.4
"8390",147.3,-43.4
"8877",145.9,-43.3
"8878",146,-43.3
"8879",146.1,-43.3
"8880",146.2,-43.3
"8881",146.3,-43.3
"8882",146.4,-43.3
"8883",146.5,-43.3
"8884",146.6,-43.3
"8885",146.7,-43.3
"8886",146.8,-43.3
"8887",146.9,-43.3
"8888",147,-43.3
"8891",147.3,-43.3
"9377",145.8,-43.2
"9378",145.9,-43.2
"9379",146,-43.2
"9380",146.1,-43.2
"9381",146.2,-43.2
"9382",146.3,-43.2
"9383",146.4,-43.2
"9384",146.5,-43.2
"9385",146.6,-43.2
"9386",146.7,-43.2
"9387",146.8,-43.2
"9388",146.9,-43.2
"9391",147.2,-43.2
"9393",147.4,-43.2
"9397",147.8,-43.2
"9877",145.7,-43.1
"9878",145.8,-43.1
"9879",145.9,-43.1
"9880",146,-43.1
"9881",146.1,-43.1
"9882",146.2,-43.1
"9883",146.3,-43.1
"9884",146.4,-43.1
"9885",146.5,-43.1
"9886",146.6,-43.1
"9887",146.7,-43.1
"9888",146.8,-43.1
"9889",146.9,-43.1
"9890",147,-43.1
"9891",147.1,-43.1
"9892",147.2,-43.1
"9897",147.7,-43.1
"9898",147.8,-43.1
"9899",147.9,-43.1
"10378",145.7,-43
"10379",145.8,-43
"10380",145.9,-43
"10381",146,-43
"10382",146.1,-43
"10383",146.2,-43
"10384",146.3,-43
"10385",146.4,-43
"10386",146.5,-43
"10387",146.6,-43
"10388",146.7,-43
"10389",146.8,-43
"10390",146.9,-43
"10391",147,-43
"10392",147.1,-43
"10393",147.2,-43
"10394",147.3,-43
"10396",147.5,-43
"10398",147.7,-43
"10400",147.9,-43
"10877",145.5,-42.9
"10878",145.6,-42.9
"10879",145.7,-42.9
"10880",145.8,-42.9
"10881",145.9,-42.9
"10882",146,-42.9
"10883",146.1,-42.9
"10884",146.2,-42.9
"10885",146.3,-42.9
"10886",146.4,-42.9
"10887",146.5,-42.9
"10888",146.6,-42.9
"10889",146.7,-42.9
"10890",146.8,-42.9
"10891",146.9,-42.9
"10892",147,-42.9
"10893",147.1,-42.9
"10894",147.2,-42.9
"10895",147.3,-42.9
"10901",147.9,-42.9
"11378",145.5,-42.8
"11379",145.6,-42.8
"11380",145.7,-42.8
"11381",145.8,-42.8
"11382",145.9,-42.8
"11383",146,-42.8
"11384",146.1,-42.8
"11385",146.2,-42.8
"11386",146.3,-42.8
"11387",146.4,-42.8
"11388",146.5,-42.8
"11389",146.6,-42.8
"11390",146.7,-42.8
"11391",146.8,-42.8
"11392",146.9,-42.8
"11393",147,-42.8
"11394",147.1,-42.8
"11395",147.2,-42.8
"11396",147.3,-42.8
