"lon","lat"
34.9,29.5
34.9,29.6
34.9,29.7
35,29.7
34.8,29.8
34.9,29.8
35,29.8
34.8,29.9
34.9,29.9
35,29.9
34.8,30
34.9,30
35,30
34.7,30.1
34.8,30.1
34.9,30.1
35,30.1
35.1,30.1
34.7,30.2
34.8,30.2
34.9,30.2
35,30.2
35.1,30.2
34.7,30.3
34.8,30.3
34.9,30.3
35,30.3
35.1,30.3
34.6,30.4
34.7,30.4
34.8,30.4
34.9,30.4
35,30.4
35.1,30.4
34.6,30.5
34.7,30.5
34.8,30.5
34.9,30.5
35,30.5
35.1,30.5
34.5,30.6
34.6,30.6
34.7,30.6
34.8,30.6
34.9,30.6
35,30.6
35.1,30.6
35.2,30.6
34.5,30.7
34.6,30.7
34.7,30.7
34.8,30.7
34.9,30.7
35,30.7
35.1,30.7
35.2,30.7
34.5,30.8
34.6,30.8
34.7,30.8
34.8,30.8
34.9,30.8
35,30.8
35.1,30.8
35.2,30.8
34.4,30.9
34.5,30.9
34.6,30.9
34.7,30.9
34.8,30.9
34.9,30.9
35,30.9
35.1,30.9
35.2,30.9
35.3,30.9
34.4,31
34.5,31
34.6,31
34.7,31
34.8,31
34.9,31
35,31
35.1,31
35.2,31
35.3,31
34.3,31.1
34.4,31.1
34.5,31.1
34.6,31.1
34.7,31.1
34.8,31.1
34.9,31.1
35,31.1
35.1,31.1
35.2,31.1
35.3,31.1
35.4,31.1
34.3,31.2
34.4,31.2
34.5,31.2
34.6,31.2
34.7,31.2
34.8,31.2
34.9,31.2
35,31.2
35.1,31.2
35.2,31.2
35.3,31.2
35.4,31.2
34.4,31.3
34.5,31.3
34.6,31.3
34.7,31.3
34.8,31.3
34.9,31.3
35,31.3
35.1,31.3
35.2,31.3
35.3,31.3
35.4,31.3
34.4,31.4
34.5,31.4
34.6,31.4
34.7,31.4
34.8,31.4
35.3,31.4
35.4,31.4
34.5,31.5
34.6,31.5
34.7,31.5
34.8,31.5
34.9,31.5
34.5,31.6
34.6,31.6
34.7,31.6
34.8,31.6
34.9,31.6
34.6,31.7
34.7,31.7
34.8,31.7
34.9,31.7
35,31.7
34.7,31.8
34.8,31.8
34.9,31.8
35,31.8
35.1,31.8
34.7,31.9
34.8,31.9
34.9,31.9
34.8,32
34.9,32
34.8,32.1
34.9,32.1
34.9,32.2
34.9,32.3
35,32.3
34.9,32.4
35,32.4
34.9,32.5
35,32.5
35.1,32.5
35.4,32.5
35.5,32.5
35,32.6
35.1,32.6
35.2,32.6
35.3,32.6
35.4,32.6
35.5,32.6
35,32.7
35.1,32.7
35.2,32.7
35.3,32.7
35.4,32.7
35.5,32.7
35.6,32.7
35,32.8
35.1,32.8
35.2,32.8
35.3,32.8
35.4,32.8
35.5,32.8
35.6,32.8
35.7,32.8
35.8,32.8
35.1,32.9
35.2,32.9
35.3,32.9
35.4,32.9
35.5,32.9
35.6,32.9
35.7,32.9
35.8,32.9
35.1,33
35.2,33
35.3,33
35.4,33
35.5,33
35.6,33
35.7,33
35.8,33
35.5,33.1
35.6,33.1
35.7,33.1
35.8,33.1
35.6,33.2
35.7,33.2
35.8,33.2
35.7,33.3
35.8,33.3
