city,region,country,lat,lon
Perth,WA,Australia,-31.96,115.83
George,Western Cape,South Africa,-33.95,22.46
Durban,KwaZulu-Natal,South Africa,-29.85,31.01
Johannesburg,Gauteng,South Africa,-26.16,28.06
Cape Town,Western Cape,South Africa,-33.96,18.47
Laguna Beach,Orange County,USA,33.54,-117.74
San Marino,Los Angeles County,USA,34.13,-118.11
Santa Paula,Ventura County,USA,34.33,-119.11
Tel-Aviv,,Israel,32.100382,34.807834
Buenos Aires,Argentina,South America,-34.582586,-58.417562
Montevideo,Uruguay,South America,-34.853168,-56.19873
Rivera,Uruguay,South America,-30.899982,-55.499964
Aquiraz,Brazil,South America,-3.909082,-38.384583
Capinopolis,Brazil,South America,-18.684387,-49.568906
Apucarana,Brazil,South America,-23.552727,-51.464519
