lat,lon,status,host
37.4220406,-122.0840092,Present,Platanus x acerifolia
23.29,72.69,Present,Acer sp.
23.29,72.64,Present,Acer buergerianum
23.29,72.64,Present,Combretum erythrophyllum
23.29,72.64,Present,Platanus x acerifolia
23.28,72.64,Present,Acer buergerianum
23.28,72.64,Present,Combretum erythrophyllum
23.27,72.64,Present,Acer buergerianum
23.27,72.64,Present,Combretum erythrophyllum
23.0418658,72.6619059,Present,Platanus x acerifolia
-34.080756,23.063263,Present,Unknown tree species
-34.079253,23.061677,Present,Unknown
-34.079253,23.061677,Present,Virgilia divaricata
-34.066736,18.8453,Present,Unknown
-34.04755,23.23102,Present,Unknown
-34.032763,23.045209,Present,Grewia occidentalis
-34.0321,23.051542,Present,Acacia mearnsii
-34.0321,23.051542,Present,Unknown tree species
-34.03075,23.04333,Present,Unknown
-34.016013,22.802059,Present,Quercus robur
-34.016013,22.802059,Present,Unknown
-34.01014,23.28681,Present,Unknown
-33.99254,18.46523,Present,Acer negundo
-33.98439,22.60823,Present,Unknown
-33.983048,24.02145,Present,Afrocarpus falcatus
-33.983048,24.02145,Present,Unknown
-33.97308,18.45563,Present,Acer negundo
-33.968302,23.930695,Present,Virgilia divaricata
-33.968302,23.930695,Present,Unknown
-33.96603,23.89533,Present,Unknown
-33.95943,18.46889,Present,Acer negundo
-33.95692,22.49811,Present,Unknown
-33.947283,22.463777,Present,Calodendron capense
-33.947283,22.463777,Present,Podalyria calyptrata
-33.947283,22.463777,Present,Prunus africana
-33.947282,22.463574,Present,Unknown
-33.947113,22.463449,Present,Salix mucronata
-33.94634,22.463518,Present,Psoralea pinata
-33.94310297,20.07717528,Present,Liquidambar styraciflua
-33.94310297,20.07717528,Present,Diospyros dichrophylla
-33.94310297,20.07717528,Present,Acer negundo
-33.94308,22.46075,Present,Unknown
-33.940962,22.462223,Present,Rapanea melanophloeos
-33.94047352,18.83126312,Present,Liquidambar styraciflua
-33.9404516,18.83114542,Present,Acer negundo
-33.94044791,18.8309913,Present,Acer negundo
-33.93851,18.82824,Present,Unknown
-33.93562,18.86574,Present,Ficus macrophylla
-33.88797,22.96581,Present,Unknown
-33.84494212,22.46020694,Present,Halleria lucida
